Subject,Sat,A*,A,B,C,D,E,U,A*%,A%,B%,C%,D%,E%,U%
ARABIC,1735,388,1085,1468,1648,1704,1729,1735,22.4,62.5,84.6,95.0,98.2,99.7,100.0
ACCOUNTING,1509,91,475,760,1005,1206,1355,1509,6.0,31.5,50.4,66.6,79.9,89.8,100.0
BIOLOGY,4217,953,1840,2469,3001,3460,3833,4217,22.6,43.6,58.5,71.2,82.0,90.9,100.0
BUSINESS,2554,245,730,1317,1779,2139,2347,2554,9.6,28.6,51.6,69.7,83.8,91.9,100.0
CHEMISTRY,5271,741,2139,3053,3807,4395,4831,5271,14.1,40.6,57.9,72.2,83.4,91.7,100.0
ECONOMICS,3042,317,1118,1835,2404,2735,2914,3042,10.4,36.8,60.3,79.0,89.9,95.8,100.0
ENGLISH LANGUAGE,342,3,45,124,220,277,318,342,0.9,13.2,36.3,64.3,81.0,93.0,100.0
ENGLISH LITERATURE,502,20,108,219,361,455,486,502,4.0,21.5,43.6,71.9,90.6,96.8,100.0
FURTHER MATHEMATICS,2927,1073,1713,2225,2497,2700,2819,2927,36.7,58.5,76.0,85.3,92.2,96.3,100.0
FRENCH,420,32,170,278,353,394,404,420,7.6,40.5,66.2,84.0,93.8,96.2,100.0
GEOGRAPHY,381,13,113,213,291,338,366,381,3.4,29.7,55.9,76.4,88.7,96.1,100.0
GREEK,549,85,371,496,539,546,548,549,15.5,67.6,90.3,98.2,99.5,99.8,100.0
GERMAN,286,32,168,236,259,276,281,286,11.2,58.7,82.5,90.6,96.5,98.3,100.0
HISTORY,509,47,192,317,414,454,481,509,9.2,37.7,62.3,81.3,89.2,94.5,100.0
INFORMATION TECHNOLOGY,460,18,94,160,229,308,366,460,3.9,20.4,34.8,49.8,67.0,79.6,100.0
LAW,396,45,62,99,132,174,238,396,11.4,15.7,25.0,33.3,43.9,60.1,100.0
MATHEMATICS,14294,3408,6957,9511,11303,12562,13439,14294,23.8,48.7,66.5,79.1,87.9,94.0,100.0
PHYSICS,5175,615,1941,2855,3649,4226,4669,5175,11.9,37.5,55.2,70.5,81.7,90.2,100.0
PURE MATHEMATICS,211,29,113,151,172,193,204,211,13.7,53.6,71.6,81.5,91.5,96.7,100.0
PSYCHOLOGY,672,65,217,377,486,572,629,672,9.7,32.3,56.1,72.3,85.1,93.6,100.0
SPANISH,905,77,567,803,875,892,901,905,8.5,62.7,88.7,96.7,98.6,99.6,100.0
